checkpoint,eval_model,jpeg_quality,image,prompt,psnr_immunized,ssim_imm_orig,ssim_clean_edit,ssim_imm_edit,disrupted
sd15_only,sd15,75,image_32.png,A person in a local art market,37.775,0.9637,0.5294,0.5634,0
sd15_only,sd15,75,image_32.png,A person in a pet festival,37.775,0.9637,0.5335,0.5894,0
sd15_only,sd15,70,image_32.png,A person in a local art market,37.18,0.9593,0.5294,0.5834,0
sd15_only,sd15,70,image_32.png,A person in a pet festival,37.18,0.9593,0.5335,0.5687,0
sd15_only,sd15,none,image_33.png,A person in a basement,80.061,1.0,0.4269,0.3772,0
sd15_only,sd15,none,image_33.png,A person in a movie set,80.061,1.0,0.4375,0.327,1
sd15_only,sd15,75,image_33.png,A person in a basement,39.657,0.9671,0.4269,0.3526,1
sd15_only,sd15,75,image_33.png,A person in a movie set,39.657,0.9671,0.4375,0.3999,0
sd15_only,sd15,70,image_33.png,A person in a basement,39.04,0.9629,0.4269,0.2906,1
sd15_only,sd15,70,image_33.png,A person in a movie set,39.04,0.9629,0.4375,0.3982,0
sd15_only,sd15,none,image_37.png,A person in a garage,78.357,1.0,0.6509,0.732,0
sd15_only,sd15,none,image_37.png,A person in a tech startup launch,78.357,1.0,0.6519,0.6823,0
sd15_only,sd15,75,image_37.png,A person in a garage,39.036,0.9693,0.6509,0.6844,0
sd15_only,sd15,75,image_37.png,A person in a tech startup launch,39.036,0.9693,0.6519,0.7223,0
sd15_only,sd15,70,image_37.png,A person in a garage,38.47,0.9664,0.6509,0.6732,0
sd15_only,sd15,70,image_37.png,A person in a tech startup launch,38.47,0.9664,0.6519,0.688,0
sd15_only,sd15,none,image_47.png,A person in a hot dog stand,87.729,1.0,0.5991,0.6137,0
sd15_only,sd15,none,image_47.png,A person in a creative writing event,87.729,1.0,0.5573,0.5857,0
sd15_only,sd15,75,image_47.png,A person in a hot dog stand,38.041,0.9673,0.5991,0.6306,0
sd15_only,sd15,75,image_47.png,A person in a creative writing event,38.041,0.9673,0.5573,0.5618,0
sd15_only,sd15,70,image_47.png,A person in a hot dog stand,37.462,0.9638,0.5991,0.6358,0
sd15_only,sd15,70,image_47.png,A person in a creative writing event,37.462,0.9638,0.5573,0.6147,0
sd15_only,sd15,none,image_49.png,A person in a music and arts festival,86.681,1.0,0.6132,0.6229,0
sd15_only,sd15,none,image_49.png,A person in a bus stop shelter,86.681,1.0,0.6118,0.5618,1
sd15_only,sd15,75,image_49.png,A person in a music and arts festival,38.351,0.9596,0.6132,0.6168,0
sd15_only,sd15,75,image_49.png,A person in a bus stop shelter,38.351,0.9596,0.6118,0.5903,0
sd15_only,sd15,70,image_49.png,A person in a music and arts festival,37.745,0.9543,0.6132,0.6333,0
sd15_only,sd15,70,image_49.png,A person in a bus stop shelter,37.745,0.9543,0.6118,0.5978,0
sd15_only,sd15,none,image_53.png,A person in a parking structure,87.27,1.0,0.5924,0.4772,1
sd15_only,sd15,none,image_53.png,A person in a science museum exhibit,87.27,1.0,0.5623,0.4698,1
sd15_only,sd15,75,image_53.png,A person in a parking structure,38.573,0.9643,0.5924,0.5783,0
sd15_only,sd15,75,image_53.png,A person in a science museum exhibit,38.573,0.9643,0.5623,0.5944,0
sd15_only,sd15,70,image_53.png,A person in a parking structure,37.943,0.959,0.5924,0.5941,0
sd15_only,sd15,70,image_53.png,A person in a science museum exhibit,37.943,0.959,0.5623,0.4976,1
sd15_only,sd15,none,image_57.png,A person in a gym sauna,88.102,1.0,0.5739,0.4876,1
sd15_only,sd15,none,image_57.png,A person in a community theater production,88.102,1.0,0.6745,0.4686,1
sd15_only,sd15,75,image_57.png,A person in a gym sauna,38.139,0.9664,0.5739,0.612,0
sd15_only,sd15,75,image_57.png,A person in a community theater production,38.139,0.9664,0.6745,0.6936,0
sd15_only,sd15,70,image_57.png,A person in a gym sauna,37.534,0.9627,0.5739,0.4753,1
sd15_only,sd15,70,image_57.png,A person in a community theater production,37.534,0.9627,0.6745,0.5559,1
sd15_only,sd15,none,image_58.png,A person in a costume shop,75.955,1.0,0.6006,0.6376,0
sd15_only,sd15,none,image_58.png,A person in a candle shop,75.955,1.0,0.5842,0.5589,0
sd15_only,sd15,75,image_58.png,A person in a costume shop,34.496,0.9444,0.6006,0.579,0
sd15_only,sd15,75,image_58.png,A person in a candle shop,34.496,0.9444,0.5842,0.5916,0
sd15_only,sd15,70,image_58.png,A person in a costume shop,33.856,0.9381,0.6006,0.5857,0
sd15_only,sd15,70,image_58.png,A person in a candle shop,33.856,0.9381,0.5842,0.6162,0
sd15_only,sd15,none,image_66.png,A person in a gym sauna,89.388,1.0,0.6732,0.7056,0
sd15_only,sd15,none,image_66.png,A person in a technology fair,89.388,1.0,0.7908,0.7606,0
sd15_only,sd15,75,image_66.png,A person in a gym sauna,40.2,0.9763,0.6732,0.6922,0
sd15_only,sd15,75,image_66.png,A person in a technology fair,40.2,0.9763,0.7908,0.7548,0
sd15_only,sd15,70,image_66.png,A person in a gym sauna,39.578,0.9737,0.6732,0.6456,0
sd15_only,sd15,70,image_66.png,A person in a technology fair,39.578,0.9737,0.7908,0.758,0
sd15_only,sd15,none,image_67.png,A person in a butcher’s shop,88.827,1.0,0.6777,0.6846,0
sd15_only,sd15,none,image_67.png,A person in a pet festival,88.827,1.0,0.7142,0.7674,0
sd15_only,sd15,75,image_67.png,A person in a butcher’s shop,39.683,0.9727,0.6777,0.7148,0
sd15_only,sd15,75,image_67.png,A person in a pet festival,39.683,0.9727,0.7142,0.7494,0
sd15_only,sd15,70,image_67.png,A person in a butcher’s shop,38.983,0.9696,0.6777,0.6898,0
sd15_only,sd15,70,image_67.png,A person in a pet festival,38.983,0.9696,0.7142,0.7956,0
sd15_only,sd15,none,image_73.png,A person in a locker room,86.084,1.0,0.4372,0.4337,0
