checkpoint,image,prompt,purify_strength,psnr_immunized,psnr_purified,ssim_purified_vs_orig,ssim_clean_edit,ssim_direct_edit,ssim_purified_edit,ssim_purified_clean_edit,direct_disrupted,purified_disrupted,purification_control_disrupted
sd15_only,image_22.png,A person in a charity art auction,0.7,28.007,22.638,0.6772,0.604,0.5531,0.5062,0.5097,1,1,1
sd15_only,image_23.png,A person in a shelter,0.3,33.033,32.342,0.9635,0.5378,0.5189,0.5104,0.5234,0,0,0
sd15_only,image_23.png,A person in a local art market,0.3,33.033,32.342,0.9635,0.5302,0.5203,0.5066,0.5097,0,0,0
sd15_only,image_23.png,A person in a shelter,0.5,33.033,22.863,0.6399,0.5378,0.5189,0.4219,0.4332,0,1,1
sd15_only,image_23.png,A person in a local art market,0.5,33.033,22.863,0.6399,0.5302,0.5203,0.4414,0.4426,0,1,1
sd15_only,image_23.png,A person in a shelter,0.7,33.033,23.05,0.6394,0.5378,0.5189,0.4338,0.4424,0,1,1
sd15_only,image_23.png,A person in a local art market,0.7,33.033,23.05,0.6394,0.5302,0.5203,0.426,0.4416,0,1,1
sd15_only,image_29.png,A person in a historic landmark event,0.3,35.663,34.388,0.9796,0.8295,0.8177,0.8055,0.8164,0,0,0
sd15_only,image_29.png,A person in a gymnasium,0.3,35.663,34.388,0.9796,0.8283,0.812,0.8156,0.8154,0,0,0
sd15_only,image_29.png,A person in a historic landmark event,0.5,35.663,24.607,0.8068,0.8295,0.8177,0.7326,0.7421,0,1,1
sd15_only,image_29.png,A person in a gymnasium,0.5,35.663,24.607,0.8068,0.8283,0.812,0.7427,0.7315,0,1,1
sd15_only,image_29.png,A person in a historic landmark event,0.7,35.663,24.476,0.806,0.8295,0.8177,0.7375,0.7267,0,1,1
sd15_only,image_29.png,A person in a gymnasium,0.7,35.663,24.476,0.806,0.8283,0.812,0.7356,0.7402,0,1,1
sd15_only,image_32.png,A person in a local art market,0.3,31.702,31.047,0.9525,0.5823,0.5386,0.5391,0.58,0,0,0
sd15_only,image_32.png,A person in a pet festival,0.3,31.702,31.047,0.9525,0.5639,0.5502,0.5582,0.5696,0,0,0
sd15_only,image_32.png,A person in a local art market,0.5,31.702,22.275,0.6594,0.5823,0.5386,0.4628,0.4473,0,1,1
sd15_only,image_32.png,A person in a pet festival,0.5,31.702,22.275,0.6594,0.5639,0.5502,0.4593,0.4633,0,1,1
sd15_only,image_32.png,A person in a local art market,0.7,31.702,22.269,0.6555,0.5823,0.5386,0.4629,0.4569,0,1,1
sd15_only,image_32.png,A person in a pet festival,0.7,31.702,22.269,0.6555,0.5639,0.5502,0.45,0.4759,0,1,1
sd15_only,image_33.png,A person in a basement,0.3,33.229,32.262,0.9583,0.8265,0.8129,0.7861,0.8195,0,0,0
sd15_only,image_33.png,A person in a movie set,0.3,33.229,32.262,0.9583,0.8237,0.8008,0.8104,0.8388,0,0,0
sd15_only,image_33.png,A person in a basement,0.5,33.229,26.257,0.7888,0.8265,0.8129,0.72,0.7417,0,1,1
sd15_only,image_33.png,A person in a movie set,0.5,33.229,26.257,0.7888,0.8237,0.8008,0.7495,0.7383,0,1,1
sd15_only,image_33.png,A person in a basement,0.7,33.229,25.934,0.7878,0.8265,0.8129,0.7288,0.7311,0,1,1
sd15_only,image_33.png,A person in a movie set,0.7,33.229,25.934,0.7878,0.8237,0.8008,0.7236,0.7512,0,1,1
sd15_only,image_37.png,A person in a garage,0.3,29.556,29.416,0.9624,0.7461,0.7313,0.7067,0.7379,0,0,0
sd15_only,image_37.png,A person in a tech startup launch,0.3,29.556,29.416,0.9624,0.7341,0.7265,0.7219,0.7495,0,0,0
sd15_only,image_37.png,A person in a garage,0.5,29.556,23.428,0.7565,0.7461,0.7313,0.6381,0.6242,0,1,1
sd15_only,image_37.png,A person in a tech startup launch,0.5,29.556,23.428,0.7565,0.7341,0.7265,0.6363,0.6407,0,1,1
sd15_only,image_37.png,A person in a garage,0.7,29.556,23.392,0.7573,0.7461,0.7313,0.6295,0.6325,0,1,1
