checkpoint,image,prompt,purify_strength,psnr_immunized,psnr_purified,ssim_purified_vs_orig,ssim_clean_edit,ssim_direct_edit,ssim_purified_edit,ssim_purified_clean_edit,direct_disrupted,purified_disrupted,purification_control_disrupted
flux_trained,image_13.png,A person in a shelter,0.7,39.797,24.194,0.7701,0.7559,0.7349,0.6708,0.6783,0,1,1
flux_trained,image_18.png,A person in a food truck park,0.3,26.189,26.028,0.9515,0.7817,0.7313,0.7273,0.7742,1,1,0
flux_trained,image_18.png,A person in a ice cream parlor,0.3,26.189,26.028,0.9515,0.7378,0.6905,0.7278,0.7734,0,0,0
flux_trained,image_18.png,A person in a food truck park,0.5,26.189,22.442,0.7923,0.7817,0.7313,0.6866,0.7014,1,1,1
flux_trained,image_18.png,A person in a ice cream parlor,0.5,26.189,22.442,0.7923,0.7378,0.6905,0.6773,0.6674,0,1,1
flux_trained,image_18.png,A person in a food truck park,0.7,26.189,22.211,0.7876,0.7817,0.7313,0.698,0.6981,1,1,1
flux_trained,image_18.png,A person in a ice cream parlor,0.7,26.189,22.211,0.7876,0.7378,0.6905,0.6616,0.6781,0,1,1
flux_trained,image_22.png,A person in a betting shop,0.3,26.942,26.961,0.9428,0.6187,0.5809,0.5708,0.6092,0,0,0
flux_trained,image_22.png,A person in a charity art auction,0.3,26.942,26.961,0.9428,0.6126,0.5806,0.5749,0.6404,0,0,0
flux_trained,image_22.png,A person in a betting shop,0.5,26.942,22.212,0.6926,0.6187,0.5809,0.4929,0.5078,0,1,1
flux_trained,image_22.png,A person in a charity art auction,0.5,26.942,22.212,0.6926,0.6126,0.5806,0.5041,0.5198,0,1,1
flux_trained,image_22.png,A person in a betting shop,0.7,26.942,22.556,0.6998,0.6187,0.5809,0.518,0.5277,0,1,1
flux_trained,image_22.png,A person in a charity art auction,0.7,26.942,22.556,0.6998,0.6126,0.5806,0.5173,0.5189,0,1,1
flux_trained,image_23.png,A person in a shelter,0.3,42.183,38.436,0.9799,0.5346,0.5344,0.5293,0.5256,0,0,0
flux_trained,image_23.png,A person in a local art market,0.3,42.183,38.436,0.9799,0.5333,0.5387,0.5255,0.5243,0,0,0
flux_trained,image_23.png,A person in a shelter,0.5,42.183,23.438,0.6525,0.5346,0.5344,0.4368,0.442,0,1,1
flux_trained,image_23.png,A person in a local art market,0.5,42.183,23.438,0.6525,0.5333,0.5387,0.4498,0.4513,0,1,1
flux_trained,image_23.png,A person in a shelter,0.7,42.183,23.342,0.65,0.5346,0.5344,0.4534,0.4474,0,1,1
flux_trained,image_23.png,A person in a local art market,0.7,42.183,23.342,0.65,0.5333,0.5387,0.4368,0.4531,0,1,1
flux_trained,image_29.png,A person in a historic landmark event,0.3,30.55,30.148,0.9631,0.8183,0.7896,0.7931,0.8169,0,0,0
flux_trained,image_29.png,A person in a gymnasium,0.3,30.55,30.148,0.9631,0.8231,0.8012,0.7881,0.8221,0,0,0
flux_trained,image_29.png,A person in a historic landmark event,0.5,30.55,23.559,0.7801,0.8183,0.7896,0.7099,0.7307,0,1,1
flux_trained,image_29.png,A person in a gymnasium,0.5,30.55,23.559,0.7801,0.8231,0.8012,0.7157,0.7353,0,1,1
flux_trained,image_29.png,A person in a historic landmark event,0.7,30.55,23.825,0.7966,0.8183,0.7896,0.7279,0.7447,0,1,1
flux_trained,image_29.png,A person in a gymnasium,0.7,30.55,23.825,0.7966,0.8231,0.8012,0.7251,0.7291,0,1,1
flux_trained,image_32.png,A person in a local art market,0.3,34.73,33.558,0.9616,0.5744,0.567,0.5425,0.5797,0,0,0
flux_trained,image_32.png,A person in a pet festival,0.3,34.73,33.558,0.9616,0.5868,0.5434,0.5594,0.5646,0,0,0
flux_trained,image_32.png,A person in a local art market,0.5,34.73,22.074,0.6571,0.5744,0.567,0.4546,0.4673,0,1,1
flux_trained,image_32.png,A person in a pet festival,0.5,34.73,22.074,0.6571,0.5868,0.5434,0.4544,0.4655,0,1,1
flux_trained,image_32.png,A person in a local art market,0.7,34.73,21.931,0.6543,0.5744,0.567,0.4689,0.442,0,1,1
flux_trained,image_32.png,A person in a pet festival,0.7,34.73,21.931,0.6543,0.5868,0.5434,0.4573,0.4726,0,1,1
flux_trained,image_33.png,A person in a basement,0.3,38.754,36.62,0.9709,0.8179,0.8146,0.7929,0.8192,0,0,0
flux_trained,image_33.png,A person in a movie set,0.3,38.754,36.62,0.9709,0.8324,0.8077,0.8152,0.8219,0,0,0
flux_trained,image_33.png,A person in a basement,0.5,38.754,26.742,0.7955,0.8179,0.8146,0.7429,0.7521,0,1,1
flux_trained,image_33.png,A person in a movie set,0.5,38.754,26.742,0.7955,0.8324,0.8077,0.752,0.7435,0,1,1
flux_trained,image_33.png,A person in a basement,0.7,38.754,26.811,0.7986,0.8179,0.8146,0.737,0.7288,0,1,1
flux_trained,image_33.png,A person in a movie set,0.7,38.754,26.811,0.7986,0.8324,0.8077,0.7652,0.7329,0,1,1
flux_trained,image_37.png,A person in a garage,0.3,31.661,31.384,0.9729,0.7432,0.7361,0.7172,0.7459,0,0,0
flux_trained,image_37.png,A person in a tech startup launch,0.3,31.661,31.384,0.9729,0.748,0.7254,0.7192,0.7367,0,0,0
flux_trained,image_37.png,A person in a garage,0.5,31.661,23.938,0.7665,0.7432,0.7361,0.6438,0.6535,0,1,1
flux_trained,image_37.png,A person in a tech startup launch,0.5,31.661,23.938,0.7665,0.748,0.7254,0.647,0.6417,0,1,1
flux_trained,image_37.png,A person in a garage,0.7,31.661,23.744,0.7628,0.7432,0.7361,0.6367,0.6457,0,1,1
flux_trained,image_37.png,A person in a tech startup launch,0.7,31.661,23.744,0.7628,0.748,0.7254,0.6533,0.651,0,1,1
flux_trained,image_47.png,A person in a hot dog stand,0.3,38.441,35.123,0.9766,0.7187,0.6935,0.6939,0.6844,0,0,0
flux_trained,image_47.png,A person in a creative writing event,0.3,38.441,35.123,0.9766,0.7066,0.6871,0.6656,0.6741,0,0,0
flux_trained,image_47.png,A person in a hot dog stand,0.5,38.441,22.368,0.7022,0.7187,0.6935,0.5709,0.5707,0,1,1
flux_trained,image_47.png,A person in a creative writing event,0.5,38.441,22.368,0.7022,0.7066,0.6871,0.5702,0.5275,0,1,1
flux_trained,image_47.png,A person in a hot dog stand,0.7,38.441,21.873,0.6907,0.7187,0.6935,0.544,0.5344,0,1,1
flux_trained,image_47.png,A person in a creative writing event,0.7,38.441,21.873,0.6907,0.7066,0.6871,0.5708,0.5407,0,1,1
flux_trained,image_49.png,A person in a music and arts festival,0.3,26.469,26.456,0.882,0.6108,0.5102,0.5275,0.6249,1,1,0
flux_trained,image_49.png,A person in a bus stop shelter,0.3,26.469,26.456,0.882,0.5884,0.5151,0.5066,0.6146,1,1,0
flux_trained,image_49.png,A person in a music and arts festival,0.5,26.469,21.986,0.6251,0.6108,0.5102,0.4418,0.5028,1,1,1
flux_trained,image_49.png,A person in a bus stop shelter,0.5,26.469,21.986,0.6251,0.5884,0.5151,0.4379,0.497,1,1,1
flux_trained,image_49.png,A person in a music and arts festival,0.7,26.469,22.213,0.6276,0.6108,0.5102,0.4235,0.5193,1,1,1
flux_trained,image_49.png,A person in a bus stop shelter,0.7,26.469,22.213,0.6276,0.5884,0.5151,0.4434,0.5003,1,1,1
flux_trained,image_53.png,A person in a parking structure,0.3,27.531,27.436,0.9019,0.579,0.5061,0.4934,0.5598,1,1,0
flux_trained,image_53.png,A person in a science museum exhibit,0.3,27.531,27.436,0.9019,0.574,0.4671,0.4994,0.5754,1,1,0
flux_trained,image_53.png,A person in a parking structure,0.5,27.531,22.343,0.6376,0.579,0.5061,0.4411,0.4698,1,1,1
flux_trained,image_53.png,A person in a science museum exhibit,0.5,27.531,22.343,0.6376,0.574,0.4671,0.4284,0.4713,1,1,1
flux_trained,image_53.png,A person in a parking structure,0.7,27.531,22.06,0.6434,0.579,0.5061,0.438,0.4793,1,1,1
flux_trained,image_53.png,A person in a science museum exhibit,0.7,27.531,22.06,0.6434,0.574,0.4671,0.4225,0.4806,1,1,1
flux_trained,image_57.png,A person in a gym sauna,0.3,37.182,34.622,0.9592,0.7667,0.7448,0.7289,0.7773,0,0,0
flux_trained,image_57.png,A person in a community theater production,0.3,37.182,34.622,0.9592,0.7599,0.7368,0.7417,0.7613,0,0,0
flux_trained,image_57.png,A person in a gym sauna,0.5,37.182,23.373,0.7334,0.7667,0.7448,0.6297,0.64,0,1,1
flux_trained,image_57.png,A person in a community theater production,0.5,37.182,23.373,0.7334,0.7599,0.7368,0.6246,0.6353,0,1,1
flux_trained,image_57.png,A person in a gym sauna,0.7,37.182,23.173,0.7263,0.7667,0.7448,0.6405,0.6413,0,1,1
flux_trained,image_57.png,A person in a community theater production,0.7,37.182,23.173,0.7263,0.7599,0.7368,0.639,0.6281,0,1,1
flux_trained,image_58.png,A person in a costume shop,0.3,35.808,33.132,0.953,0.6949,0.6872,0.6673,0.6893,0,0,0
flux_trained,image_58.png,A person in a candle shop,0.3,35.808,33.132,0.953,0.6789,0.683,0.6786,0.6836,0,0,0
flux_trained,image_58.png,A person in a costume shop,0.5,35.808,22.315,0.7115,0.6949,0.6872,0.5648,0.5779,0,1,1
flux_trained,image_58.png,A person in a candle shop,0.5,35.808,22.315,0.7115,0.6789,0.683,0.5702,0.5767,0,1,1
flux_trained,image_58.png,A person in a costume shop,0.7,35.808,22.076,0.6996,0.6949,0.6872,0.5716,0.5842,0,1,1
flux_trained,image_58.png,A person in a candle shop,0.7,35.808,22.076,0.6996,0.6789,0.683,0.5745,0.5801,0,1,1
flux_trained,image_66.png,A person in a gym sauna,0.3,28.498,28.146,0.9576,0.8399,0.7856,0.7962,0.8292,1,0,0
flux_trained,image_66.png,A person in a technology fair,0.3,28.498,28.146,0.9576,0.8309,0.7922,0.8013,0.8288,0,0,0
flux_trained,image_66.png,A person in a gym sauna,0.5,28.498,23.095,0.8017,0.8399,0.7856,0.7313,0.7607,1,1,1
flux_trained,image_66.png,A person in a technology fair,0.5,28.498,23.095,0.8017,0.8309,0.7922,0.7148,0.7623,0,1,1
flux_trained,image_66.png,A person in a gym sauna,0.7,28.498,23.068,0.7951,0.8399,0.7856,0.7271,0.7534,1,1,1
flux_trained,image_66.png,A person in a technology fair,0.7,28.498,23.068,0.7951,0.8309,0.7922,0.7242,0.753,0,1,1
flux_trained,image_67.png,A person in a butcher’s shop,0.3,28.36,28.469,0.9598,0.8366,0.789,0.7783,0.8135,0,1,0
flux_trained,image_67.png,A person in a pet festival,0.3,28.36,28.469,0.9598,0.81,0.7773,0.7787,0.7922,0,0,0
flux_trained,image_67.png,A person in a butcher’s shop,0.5,28.36,23.264,0.7657,0.8366,0.789,0.6955,0.6891,0,1,1
flux_trained,image_67.png,A person in a pet festival,0.5,28.36,23.264,0.7657,0.81,0.7773,0.7002,0.6862,0,1,1
flux_trained,image_67.png,A person in a butcher’s shop,0.7,28.36,23.409,0.7693,0.8366,0.789,0.6797,0.697,0,1,1
flux_trained,image_67.png,A person in a pet festival,0.7,28.36,23.409,0.7693,0.81,0.7773,0.6957,0.7028,0,1,1
flux_trained,image_73.png,A person in a locker room,0.3,41.04,36.425,0.9778,0.5794,0.6018,0.6003,0.6058,0,0,0
flux_trained,image_73.png,A person in a street market,0.3,41.04,36.425,0.9778,0.6054,0.6005,0.5801,0.5871,0,0,0
flux_trained,image_73.png,A person in a locker room,0.5,41.04,24.207,0.6984,0.5794,0.6018,0.5423,0.5393,0,0,0
flux_trained,image_73.png,A person in a street market,0.5,41.04,24.207,0.6984,0.6054,0.6005,0.5365,0.5413,0,1,1
flux_trained,image_73.png,A person in a locker room,0.7,41.04,24.07,0.6842,0.5794,0.6018,0.532,0.5304,0,0,0
flux_trained,image_73.png,A person in a street market,0.7,41.04,24.07,0.6842,0.6054,0.6005,0.5266,0.5214,0,1,1
flux_trained,image_80.png,A person in a hot dog stand,0.3,33.614,32.219,0.9589,0.6279,0.6274,0.6275,0.6381,0,0,0
flux_trained,image_80.png,A person in a bridal fitting room,0.3,33.614,32.219,0.9589,0.6449,0.6124,0.6327,0.6371,0,0,0
flux_trained,image_80.png,A person in a hot dog stand,0.5,33.614,21.895,0.6436,0.6279,0.6274,0.5043,0.5001,0,1,1
flux_trained,image_80.png,A person in a bridal fitting room,0.5,33.614,21.895,0.6436,0.6449,0.6124,0.5037,0.5011,0,1,1
flux_trained,image_80.png,A person in a hot dog stand,0.7,33.614,22.066,0.6434,0.6279,0.6274,0.5094,0.4975,0,1,1
flux_trained,image_80.png,A person in a bridal fitting room,0.7,33.614,22.066,0.6434,0.6449,0.6124,0.5043,0.5083,0,1,1
flux_trained,image_82.png,A person in a beach resort,0.3,31.494,31.383,0.9758,0.6852,0.662,0.6812,0.6748,0,0,0
flux_trained,image_82.png,A person in a transit station,0.3,31.494,31.383,0.9758,0.6832,0.6626,0.6707,0.6715,0,0,0
flux_trained,image_82.png,A person in a beach resort,0.5,31.494,24.269,0.7664,0.6852,0.662,0.6072,0.6046,0,1,1
flux_trained,image_82.png,A person in a transit station,0.5,31.494,24.269,0.7664,0.6832,0.6626,0.5851,0.6193,0,1,1
flux_trained,image_82.png,A person in a beach resort,0.7,31.494,24.177,0.759,0.6852,0.662,0.5932,0.6208,0,1,1
flux_trained,image_82.png,A person in a transit station,0.7,31.494,24.177,0.759,0.6832,0.6626,0.5856,0.6083,0,1,1
flux_trained,image_93.png,A person in a motel room,0.3,34.326,29.821,0.9475,0.7491,0.7138,0.7127,0.7383,0,0,0
flux_trained,image_93.png,A person in a tech launch event,0.3,34.326,29.821,0.9475,0.7453,0.7207,0.7173,0.725,0,0,0
flux_trained,image_93.png,A person in a motel room,0.5,34.326,20.275,0.6812,0.7491,0.7138,0.5538,0.5759,0,1,1
flux_trained,image_93.png,A person in a tech launch event,0.5,34.326,20.275,0.6812,0.7453,0.7207,0.5614,0.5945,0,1,1
flux_trained,image_93.png,A person in a motel room,0.7,34.326,20.233,0.6756,0.7491,0.7138,0.5627,0.5799,0,1,1
flux_trained,image_93.png,A person in a tech launch event,0.7,34.326,20.233,0.6756,0.7453,0.7207,0.5492,0.575,0,1,1
flux_trained,image_94.png,A person in a computer lab,0.3,39.919,34.887,0.9761,0.8648,0.8449,0.8483,0.8522,0,0,0
flux_trained,image_94.png,A person in a lobby,0.3,39.919,34.887,0.9761,0.8573,0.8518,0.8393,0.8585,0,0,0
flux_trained,image_94.png,A person in a computer lab,0.5,39.919,23.52,0.7938,0.8648,0.8449,0.7393,0.744,0,1,1
flux_trained,image_94.png,A person in a lobby,0.5,39.919,23.52,0.7938,0.8573,0.8518,0.7412,0.7403,0,1,1
flux_trained,image_94.png,A person in a computer lab,0.7,39.919,23.842,0.7945,0.8648,0.8449,0.7469,0.7489,0,1,1
flux_trained,image_94.png,A person in a lobby,0.7,39.919,23.842,0.7945,0.8573,0.8518,0.7479,0.7478,0,1,1
flux_trained,image_104.png,A person in a pet festival,0.3,45.774,39.053,0.9857,0.7567,0.7307,0.7317,0.7344,0,0,0
flux_trained,image_104.png,A person in a slum,0.3,45.774,39.053,0.9857,0.7394,0.7307,0.7335,0.7431,0,0,0
flux_trained,image_104.png,A person in a pet festival,0.5,45.774,24.583,0.7674,0.7567,0.7307,0.6645,0.6565,0,1,1
flux_trained,image_104.png,A person in a slum,0.5,45.774,24.583,0.7674,0.7394,0.7307,0.652,0.6728,0,1,1
flux_trained,image_104.png,A person in a pet festival,0.7,45.774,24.584,0.7636,0.7567,0.7307,0.6497,0.6653,0,1,1
flux_trained,image_104.png,A person in a slum,0.7,45.774,24.584,0.7636,0.7394,0.7307,0.6308,0.6601,0,1,1
flux_trained,image_110.png,A person in a gym sauna,0.3,39.405,37.079,0.9842,0.7357,0.7113,0.7242,0.7312,0,0,0
flux_trained,image_110.png,A person in a glass factory,0.3,39.405,37.079,0.9842,0.7413,0.7139,0.7214,0.7281,0,0,0
flux_trained,image_110.png,A person in a gym sauna,0.5,39.405,23.805,0.7471,0.7357,0.7113,0.6505,0.646,0,1,1
flux_trained,image_110.png,A person in a glass factory,0.5,39.405,23.805,0.7471,0.7413,0.7139,0.644,0.6237,0,1,1
flux_trained,image_110.png,A person in a gym sauna,0.7,39.405,23.75,0.7435,0.7357,0.7113,0.6339,0.6274,0,1,1
flux_trained,image_110.png,A person in a glass factory,0.7,39.405,23.75,0.7435,0.7413,0.7139,0.603,0.6434,0,1,1
flux_trained,image_115.png,A person in a tram stop,0.3,31.492,29.311,0.9367,0.6259,0.6001,0.5837,0.6158,0,0,0
flux_trained,image_115.png,A person in a fish market,0.3,31.492,29.311,0.9367,0.6262,0.5912,0.5771,0.6329,0,0,0
flux_trained,image_115.png,A person in a tram stop,0.5,31.492,20.815,0.6485,0.6259,0.6001,0.4933,0.5054,0,1,1
flux_trained,image_115.png,A person in a fish market,0.5,31.492,20.815,0.6485,0.6262,0.5912,0.4985,0.5065,0,1,1
flux_trained,image_115.png,A person in a tram stop,0.7,31.492,20.915,0.6513,0.6259,0.6001,0.478,0.5104,0,1,1
flux_trained,image_115.png,A person in a fish market,0.7,31.492,20.915,0.6513,0.6262,0.5912,0.5079,0.5284,0,1,1
flux_trained,image_121.png,A person in a basement,0.3,33.971,33.376,0.9621,0.7154,0.6622,0.7013,0.7134,1,0,0
flux_trained,image_121.png,A person in a dormitory,0.3,33.971,33.376,0.9621,0.7054,0.6722,0.6764,0.696,0,0,0
flux_trained,image_121.png,A person in a basement,0.5,33.971,23.849,0.7183,0.7154,0.6622,0.5917,0.5975,1,1,1
flux_trained,image_121.png,A person in a dormitory,0.5,33.971,23.849,0.7183,0.7054,0.6722,0.5962,0.5885,0,1,1
flux_trained,image_121.png,A person in a basement,0.7,33.971,24.241,0.7299,0.7154,0.6622,0.5874,0.6135,1,1,1
flux_trained,image_121.png,A person in a dormitory,0.7,33.971,24.241,0.7299,0.7054,0.6722,0.5885,0.6023,0,1,1
flux_trained,image_129.png,A person in a tech startup,0.3,27.587,27.083,0.9668,0.6899,0.679,0.6908,0.6972,0,0,0
flux_trained,image_129.png,A person in a brewery tour,0.3,27.587,27.083,0.9668,0.7335,0.6942,0.6886,0.704,0,0,0
flux_trained,image_129.png,A person in a tech startup,0.5,27.587,22.112,0.7677,0.6899,0.679,0.635,0.6613,0,1,0
flux_trained,image_129.png,A person in a brewery tour,0.5,27.587,22.112,0.7677,0.7335,0.6942,0.6366,0.6577,0,1,1
flux_trained,image_129.png,A person in a tech startup,0.7,27.587,22.311,0.7705,0.6899,0.679,0.6326,0.6657,0,1,0
flux_trained,image_129.png,A person in a brewery tour,0.7,27.587,22.311,0.7705,0.7335,0.6942,0.6575,0.6556,0,1,1
flux_trained,image_133.png,A person in a laundry room,0.3,41.224,33.186,0.9611,0.3894,0.3997,0.3881,0.4239,0,0,0
flux_trained,image_133.png,A person in a tech startup,0.3,41.224,33.186,0.9611,0.3933,0.4292,0.4112,0.4053,0,0,0
flux_trained,image_133.png,A person in a laundry room,0.5,41.224,19.954,0.4313,0.3894,0.3997,0.292,0.2785,0,1,1
flux_trained,image_133.png,A person in a tech startup,0.5,41.224,19.954,0.4313,0.3933,0.4292,0.2532,0.2813,0,1,1
flux_trained,image_133.png,A person in a laundry room,0.7,41.224,19.989,0.4422,0.3894,0.3997,0.274,0.2839,0,1,1
flux_trained,image_133.png,A person in a tech startup,0.7,41.224,19.989,0.4422,0.3933,0.4292,0.249,0.2733,0,1,1
