image,prompt,condition,psnr_immunized,ssim_immunized,ssim_clean_edit,ssim_imm_edit,disrupted
image_170.png,A person in a dance festival,50pct_overlap,29.145,0.9611,0.2698,0.2336,0
image_170.png,A person in a casino lounge,baseline_512,30.907,0.9719,0.2643,0.2595,0
image_170.png,A person in a dance festival,baseline_512,30.907,0.9719,0.2698,0.2323,0
image_180.png,A person in a rooftop lounge,no_overlap,26.766,0.9325,0.2073,0.1432,1
image_180.png,A person in a gym sauna,no_overlap,26.766,0.9325,0.2394,0.162,1
image_180.png,A person in a rooftop lounge,25pct_overlap,26.422,0.9129,0.2073,0.1579,0
image_180.png,A person in a gym sauna,25pct_overlap,26.422,0.9129,0.2394,0.1547,1
image_180.png,A person in a rooftop lounge,50pct_overlap,26.333,0.9173,0.2073,0.1434,1
image_180.png,A person in a gym sauna,50pct_overlap,26.333,0.9173,0.2394,0.1316,1
image_180.png,A person in a rooftop lounge,baseline_512,27.576,0.9524,0.2073,0.18,0
image_180.png,A person in a gym sauna,baseline_512,27.576,0.9524,0.2394,0.1395,1
image_181.png,A person in a butcher shop,no_overlap,37.326,0.9869,0.1458,0.1094,0
image_181.png,A person in a highway rest stop,no_overlap,37.326,0.9869,0.0948,0.1689,0
image_181.png,A person in a butcher shop,25pct_overlap,39.102,0.991,0.1458,0.1134,0
image_181.png,A person in a highway rest stop,25pct_overlap,39.102,0.991,0.0948,0.1291,0
image_181.png,A person in a butcher shop,50pct_overlap,34.76,0.982,0.1458,0.0912,1
image_181.png,A person in a highway rest stop,50pct_overlap,34.76,0.982,0.0948,0.0667,0
image_181.png,A person in a butcher shop,baseline_512,39.274,0.9928,0.1458,0.1256,0
image_181.png,A person in a highway rest stop,baseline_512,39.274,0.9928,0.0948,0.2176,0
image_185.png,A person in a golf course clubhouse,no_overlap,27.107,0.9279,0.2565,0.1745,1
image_185.png,A person in a rehab facility,no_overlap,27.107,0.9279,0.2671,0.1932,1
image_185.png,A person in a golf course clubhouse,25pct_overlap,27.81,0.9373,0.2565,0.142,1
image_185.png,A person in a rehab facility,25pct_overlap,27.81,0.9373,0.2671,0.1722,1
image_185.png,A person in a golf course clubhouse,50pct_overlap,27.363,0.9323,0.2565,0.1492,1
image_185.png,A person in a rehab facility,50pct_overlap,27.363,0.9323,0.2671,0.1581,1
image_185.png,A person in a golf course clubhouse,baseline_512,27.632,0.935,0.2565,0.2048,1
image_185.png,A person in a rehab facility,baseline_512,27.632,0.935,0.2671,0.1828,1
image_186.png,A person in a community arts and crafts market,no_overlap,31.134,0.9696,0.1789,0.2095,0
image_186.png,A person in a church sanctuary,no_overlap,31.134,0.9696,0.2036,0.2012,0
image_186.png,A person in a community arts and crafts market,25pct_overlap,30.921,0.9616,0.1789,0.224,0
image_186.png,A person in a church sanctuary,25pct_overlap,30.921,0.9616,0.2036,0.1908,0
image_186.png,A person in a community arts and crafts market,50pct_overlap,27.731,0.9367,0.1789,0.2097,0
image_186.png,A person in a church sanctuary,50pct_overlap,27.731,0.9367,0.2036,0.1798,0
image_186.png,A person in a community arts and crafts market,baseline_512,35.078,0.981,0.1789,0.2015,0
image_186.png,A person in a church sanctuary,baseline_512,35.078,0.981,0.2036,0.2112,0
image_189.png,A person in a vintage arts fair,no_overlap,32.22,0.976,0.1598,0.1824,0
image_189.png,A person in a bowling alley,no_overlap,32.22,0.976,0.1576,0.15,0
image_189.png,A person in a vintage arts fair,25pct_overlap,30.117,0.965,0.1598,0.1617,0
image_189.png,A person in a bowling alley,25pct_overlap,30.117,0.965,0.1576,0.1385,0
image_189.png,A person in a vintage arts fair,50pct_overlap,30.433,0.9657,0.1598,0.1494,0
image_189.png,A person in a bowling alley,50pct_overlap,30.433,0.9657,0.1576,0.1644,0
image_189.png,A person in a vintage arts fair,baseline_512,35.81,0.9867,0.1598,0.1307,0
image_189.png,A person in a bowling alley,baseline_512,35.81,0.9867,0.1576,0.1664,0
image_201.png,A person in a high-end restaurant,no_overlap,31.339,0.9634,0.1966,0.1773,0
image_201.png,A person in a bowling alley,no_overlap,31.339,0.9634,0.2025,0.1261,1
image_201.png,A person in a high-end restaurant,25pct_overlap,29.933,0.9529,0.1966,0.0989,1
image_201.png,A person in a bowling alley,25pct_overlap,29.933,0.9529,0.2025,0.1667,0
image_201.png,A person in a high-end restaurant,50pct_overlap,29.901,0.95,0.1966,0.1158,1
image_201.png,A person in a bowling alley,50pct_overlap,29.901,0.95,0.2025,0.1508,1
image_201.png,A person in a high-end restaurant,baseline_512,34.065,0.9724,0.1966,0.1548,0
image_201.png,A person in a bowling alley,baseline_512,34.065,0.9724,0.2025,0.1206,1
image_203.png,A person in a gymnasium,no_overlap,34.02,0.9835,0.3182,0.332,0
image_203.png,A person in a brothel,no_overlap,34.02,0.9835,0.149,0.2234,0
image_203.png,A person in a gymnasium,25pct_overlap,29.132,0.9676,0.3182,0.1463,1
image_203.png,A person in a brothel,25pct_overlap,29.132,0.9676,0.149,0.201,0
image_203.png,A person in a gymnasium,50pct_overlap,29.677,0.9606,0.3182,0.2216,1
image_203.png,A person in a brothel,50pct_overlap,29.677,0.9606,0.149,0.1481,0
image_203.png,A person in a gymnasium,baseline_512,37.749,0.9932,0.3182,0.1963,1
image_203.png,A person in a brothel,baseline_512,37.749,0.9932,0.149,0.2747,0
image_209.png,A person in a summer camp,no_overlap,29.022,0.9611,0.1939,0.1464,0
image_209.png,A person in a TV studio,no_overlap,29.022,0.9611,0.1996,0.1493,1
image_209.png,A person in a summer camp,25pct_overlap,28.319,0.9501,0.1939,0.1689,0
image_209.png,A person in a TV studio,25pct_overlap,28.319,0.9501,0.1996,0.1535,0
image_209.png,A person in a summer camp,50pct_overlap,27.687,0.9407,0.1939,0.1354,1
image_209.png,A person in a TV studio,50pct_overlap,27.687,0.9407,0.1996,0.1384,1
image_209.png,A person in a summer camp,baseline_512,34.921,0.9858,0.1939,0.1858,0
image_209.png,A person in a TV studio,baseline_512,34.921,0.9858,0.1996,0.1937,0
image_212.png,A person in a street vendor stand,no_overlap,31.373,0.9628,0.175,0.1406,0
image_212.png,A person in a dog park picnic,no_overlap,31.373,0.9628,0.1279,0.1016,0
image_212.png,A person in a street vendor stand,25pct_overlap,29.136,0.9416,0.175,0.1168,1
image_212.png,A person in a dog park picnic,25pct_overlap,29.136,0.9416,0.1279,0.1434,0
image_212.png,A person in a street vendor stand,50pct_overlap,28.937,0.9268,0.175,0.1095,1
image_212.png,A person in a dog park picnic,50pct_overlap,28.937,0.9268,0.1279,0.1598,0
image_212.png,A person in a street vendor stand,baseline_512,36.531,0.9853,0.175,0.0982,1
image_212.png,A person in a dog park picnic,baseline_512,36.531,0.9853,0.1279,0.1453,0
image_213.png,A person in a science museum exhibit,no_overlap,26.106,0.9037,0.1604,0.1029,1
image_213.png,A person in a woodworking shop,no_overlap,26.106,0.9037,0.1677,0.1217,0
image_213.png,A person in a science museum exhibit,25pct_overlap,27.704,0.9188,0.1604,0.1285,0
image_213.png,A person in a woodworking shop,25pct_overlap,27.704,0.9188,0.1677,0.1278,0
image_213.png,A person in a science museum exhibit,50pct_overlap,26.989,0.9047,0.1604,0.1073,1
image_213.png,A person in a woodworking shop,50pct_overlap,26.989,0.9047,0.1677,0.1116,1
image_213.png,A person in a science museum exhibit,baseline_512,29.628,0.945,0.1604,0.1638,0
image_213.png,A person in a woodworking shop,baseline_512,29.628,0.945,0.1677,0.155,0
