image,prompt,condition,psnr_immunized,ssim_immunized,ssim_clean_edit,ssim_imm_edit,disrupted
image_23.png,A person in a local art market,baseline_512,33.033,0.9764,0.2402,0.1997,0
image_29.png,A person in a historic landmark event,no_overlap,29.957,0.9749,0.2529,0.2024,1
image_29.png,A person in a gymnasium,no_overlap,29.957,0.9749,0.3274,0.2176,1
image_29.png,A person in a historic landmark event,25pct_overlap,27.133,0.9557,0.2529,0.2405,0
image_29.png,A person in a gymnasium,25pct_overlap,27.133,0.9557,0.3274,0.2793,0
image_29.png,A person in a historic landmark event,50pct_overlap,27.251,0.9541,0.2529,0.1688,1
image_29.png,A person in a gymnasium,50pct_overlap,27.251,0.9541,0.3274,0.3081,0
image_29.png,A person in a historic landmark event,baseline_512,35.663,0.9885,0.2529,0.3432,0
image_29.png,A person in a gymnasium,baseline_512,35.663,0.9885,0.3274,0.2306,1
image_32.png,A person in a local art market,no_overlap,28.414,0.9418,0.193,0.1624,0
image_32.png,A person in a pet festival,no_overlap,28.414,0.9418,0.1816,0.1511,0
image_32.png,A person in a local art market,25pct_overlap,29.248,0.9468,0.193,0.1451,0
image_32.png,A person in a pet festival,25pct_overlap,29.248,0.9468,0.1816,0.1702,0
image_32.png,A person in a local art market,50pct_overlap,29.091,0.9451,0.193,0.1403,1
image_32.png,A person in a pet festival,50pct_overlap,29.091,0.9451,0.1816,0.1582,0
image_32.png,A person in a local art market,baseline_512,31.702,0.9643,0.193,0.1554,0
image_32.png,A person in a pet festival,baseline_512,31.702,0.9643,0.1816,0.1615,0
image_33.png,A person in a basement,no_overlap,30.628,0.9565,0.2188,0.1862,0
image_33.png,A person in a movie set,no_overlap,30.628,0.9565,0.255,0.1888,1
image_33.png,A person in a basement,25pct_overlap,30.589,0.9501,0.2188,0.1765,0
image_33.png,A person in a movie set,25pct_overlap,30.589,0.9501,0.255,0.1827,1
image_33.png,A person in a basement,50pct_overlap,29.555,0.9415,0.2188,0.2486,0
image_33.png,A person in a movie set,50pct_overlap,29.555,0.9415,0.255,0.143,1
image_33.png,A person in a basement,baseline_512,33.229,0.9729,0.2188,0.1815,0
image_33.png,A person in a movie set,baseline_512,33.229,0.9729,0.255,0.3563,0
image_37.png,A person in a garage,no_overlap,30.041,0.961,0.2076,0.2222,0
image_37.png,A person in a tech startup launch,no_overlap,30.041,0.961,0.2425,0.2281,0
image_37.png,A person in a garage,25pct_overlap,29.532,0.9516,0.2076,0.2181,0
image_37.png,A person in a tech startup launch,25pct_overlap,29.532,0.9516,0.2425,0.1846,1
image_37.png,A person in a garage,50pct_overlap,29.62,0.9541,0.2076,0.2128,0
image_37.png,A person in a tech startup launch,50pct_overlap,29.62,0.9541,0.2425,0.2453,0
image_37.png,A person in a garage,baseline_512,29.556,0.9706,0.2076,0.2121,0
image_37.png,A person in a tech startup launch,baseline_512,29.556,0.9706,0.2425,0.2226,0
image_47.png,A person in a hot dog stand,no_overlap,31.22,0.9613,0.1721,0.1294,0
image_47.png,A person in a creative writing event,no_overlap,31.22,0.9613,0.172,0.159,0
image_47.png,A person in a hot dog stand,25pct_overlap,30.269,0.9577,0.1721,0.0991,1
image_47.png,A person in a creative writing event,25pct_overlap,30.269,0.9577,0.172,0.1252,0
image_47.png,A person in a hot dog stand,50pct_overlap,29.054,0.9499,0.1721,0.1835,0
image_47.png,A person in a creative writing event,50pct_overlap,29.054,0.9499,0.172,0.1688,0
image_47.png,A person in a hot dog stand,baseline_512,34.299,0.9772,0.1721,0.1937,0
image_47.png,A person in a creative writing event,baseline_512,34.299,0.9772,0.172,0.1443,0
image_49.png,A person in a music and arts festival,no_overlap,25.508,0.8786,0.2575,0.1391,1
image_49.png,A person in a bus stop shelter,no_overlap,25.508,0.8786,0.2685,0.1472,1
image_49.png,A person in a music and arts festival,25pct_overlap,25.513,0.8714,0.2575,0.1353,1
image_49.png,A person in a bus stop shelter,25pct_overlap,25.513,0.8714,0.2685,0.1797,1
image_49.png,A person in a music and arts festival,50pct_overlap,26.023,0.8693,0.2575,0.1463,1
image_49.png,A person in a bus stop shelter,50pct_overlap,26.023,0.8693,0.2685,0.1109,1
image_49.png,A person in a music and arts festival,baseline_512,25.175,0.8678,0.2575,0.1421,1
image_49.png,A person in a bus stop shelter,baseline_512,25.175,0.8678,0.2685,0.1864,1
image_53.png,A person in a parking structure,no_overlap,31.496,0.9551,0.198,0.1792,0
image_53.png,A person in a science museum exhibit,no_overlap,31.496,0.9551,0.1719,0.1418,0
image_53.png,A person in a parking structure,25pct_overlap,30.305,0.9426,0.198,0.1534,0
image_53.png,A person in a science museum exhibit,25pct_overlap,30.305,0.9426,0.1719,0.1436,0
image_53.png,A person in a parking structure,50pct_overlap,28.944,0.9276,0.198,0.1215,1
image_53.png,A person in a science museum exhibit,50pct_overlap,28.944,0.9276,0.1719,0.1423,0
image_53.png,A person in a parking structure,baseline_512,27.057,0.9041,0.198,0.0762,1
image_53.png,A person in a science museum exhibit,baseline_512,27.057,0.9041,0.1719,0.1383,0
image_57.png,A person in a gym sauna,no_overlap,28.154,0.9255,0.2111,0.1321,1
image_57.png,A person in a community theater production,no_overlap,28.154,0.9255,0.1966,0.1315,1
